Model,MAE,RMSE,MAPE
XGBoost,14763.810624999998,18337.412565486276,0.14481277237255794
SARIMA,20275.64424030157,21062.969654641354,0.21508021723481627
Prophet,20250.794537282793,22318.411454222576,0.21864628292994945
